ID,task_type,action_noise,xprob_volatility
1001,SAP,0.8764814864861983,-7.543688438076728
1001,SAPC,0.461997318519996,-6.383940057624077
1002,SAP,0.5619456439225561,-7.337257466121395
1002,SAPC,0.22399291418496148,-6.575726847805553
1003,SAP,0.4896164696377264,-7.402336010916326
1003,SAPC,3.0084155090921314,-6.780401284780939
1004,SAP,1.2536556525921805,-8.046088598331554
1004,SAPC,1.420954628563739,-1.4847284820377311
1006,SAP,0.9839170778587684,-7.3594509400645425
1006,SAPC,0.63087508190265,-5.572033503310538
1007,SAP,0.466691610572355,-7.38380950528706
1007,SAPC,1.9718298210081713,-7.324517794648267
1008,SAP,0.4587405402017767,-2.2270291563689697
1008,SAPC,0.5267078942187429,-6.899135247227773
1009,SAP,0.6202010035278174,-7.20176921800848
1009,SAPC,0.6432824935950572,-3.527784896017791
1010,SAP,0.3860980011708277,-2.847458560547603
1010,SAPC,0.6978380308445489,-2.4257523210774323
1011,SAP,2.4908953577926534,-6.62976225942703
1011,SAPC,1.4590976188507674,-7.36727959628379
1012,SAP,2.0435998754600613,-6.81381713224564
1012,SAPC,1.8404634410392198,-7.208847493671378
1013,SAP,1.548104673897147,-6.841156949465013
1013,SAPC,0.9497735461690742,-7.020179633512579
1015,SAP,0.509693759995076,-2.58815653635133
1015,SAPC,0.3719215355807274,-6.564897053248491
1016,SAP,0.9372790162973286,-1.654438928312656
1016,SAPC,0.7005190820857075,-2.583132575790259
1018,SAP,0.22404169851458308,-6.877146038471423
1018,SAPC,0.5552678243532838,-2.9588103674341606
